"","EstID","Company.x","State","Zip","Company.y","Size2","Beef_Slaughter","Pork_Slaughter","Chicken_Slaughter","Catfish_Products","Egg_Products","StateName"
"1",2,"Mar-Jac Poultry, Inc.","GA","30501","Mar-Jac Poultry, Inc.","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"2",3,"Pilgrim's Pride Corporation","GA","30540","Pilgrim's Pride Corporation","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"3",6,"Cargill Meat Solutions Corporation","GA","30265","Cargill Meat Solutions Corporation","Large",FALSE,NA,NA,NA,NA,"Georgia"
"4",7,"Florida Beef, Inc.","FL","33514","Florida Beef, Inc.","Small",TRUE,NA,NA,NA,NA,"Florida"
"5",8,"Wayne Farms LLC","GA","30567","Wayne Farms LLC","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"6",9,"Pilgrim's Pride Corporation","GA","30503","Pilgrim's Pride Corporation","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"7",10,"Pilgrim's Elberton Prepared Foods","GA","30635","Pilgrim's Elberton Prepared Foods","Small",FALSE,NA,NA,NA,NA,"Georgia"
"8",13,"Hormel Foods Corporation","GA","30085","Hormel Foods Corporation","Small",FALSE,NA,NA,NA,NA,"Georgia"
"9",15,"Tyson Foods, Inc.","GA","30040","Tyson Foods, Inc.","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"10",25,"FPL Food","GA","30901","FPL Food","Large",TRUE,NA,NA,NA,NA,"Georgia"
"11",29,"Pilgrim's Pride Corporation","GA","30117","Pilgrim's Pride Corporation","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"12",31,"St. Croix Abattoir","VI","00850","St. Croix Abattoir","Small",TRUE,TRUE,NA,NA,NA,NA
"13",32,"JCG Foods of Georgia, LLC","GA","31823","JCG Foods of Georgia, LLC","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"14",38,"Pilgrim's Pride Corporation","GA","30601","Pilgrim's Pride Corporation","Small",FALSE,NA,TRUE,NA,NA,"Georgia"
"15",39,"Harrison Poultry, Inc.","GA","30620","Harrison Poultry, Inc.","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"16",41,"Fieldale Farms Corporation","GA","30531","Fieldale Farms Corporation","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"17",44,"Fieldale Farms Corporation","GA","30564","Fieldale Farms Corporation","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"18",45,"Pilgrim's Pride Corporation","GA","31533","Pilgrim's Pride Corporation","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"19",48,"Pilgrim's Pride Corporation","GA","30115","Pilgrim's Pride Corporation","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"20",49,"Suzanna's Kitchen Inc.","GA","30096","Suzanna's Kitchen Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"21",51,"Rudolph Foods Company","GA","30043","Rudolph Foods Company","Small",FALSE,NA,NA,NA,NA,"Georgia"
"22",53,"Tip Top Poultry, Inc.","GA","30065","Tip Top Poultry, Inc.","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"23",56,"Smithfield Packaged Meats Corp.","GA","30040","Smithfield Packaged Meats Corp.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"24",59,"Perdue Foods LLC","GA","30507","Perdue Foods LLC","Small",FALSE,NA,NA,NA,NA,"Georgia"
"25",60,"Pilgrim's Pride Corporation","FL","32064","Pilgrim's Pride Corporation","Large",FALSE,NA,TRUE,NA,NA,"Florida"
"26",63,"Keystone Foods, LLC","GA","31730","Keystone Foods, LLC","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"27",64,"Buckhead Beef","GA","30337","Buckhead Beef","Small",FALSE,NA,NA,NA,NA,"Georgia"
"28",65,"Georgia Packing Co., LLC","GA","31709","Georgia Packing Co., LLC","Small",FALSE,NA,NA,TRUE,NA,"Georgia"
"29",72,"Norman W. Fries, Inc.","GA","30417","Norman W. Fries, Inc.","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"30",74,"Crider, Inc.","GA","30464","Crider, Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"31",78,"Lawson Institutional Foods","GA","30182","Lawson Institutional Foods","Small",FALSE,NA,NA,NA,NA,"Georgia"
"32",84,"Dillard House","GA","30537","Dillard House","Small",FALSE,NA,NA,NA,NA,"Georgia"
"33",85,"Kabobs Aquisition, LLC","GA","30260","Kabobs Aquisition, LLC","Small",FALSE,NA,NA,NA,NA,"Georgia"
"34",86,"Blalock Meat Processing","GA","30568","Blalock Meat Processing","Small",TRUE,TRUE,NA,NA,NA,"Georgia"
"35",89,"Kenosha Beef International","GA","30071","Kenosha Beef International","Small",FALSE,NA,NA,NA,NA,"Georgia"
"36",119,"D. L. Lee and Sons, LLC","GA","31510","D. L. Lee and Sons, LLC","Small",FALSE,NA,NA,NA,NA,"Georgia"
"37",121,"C&S Wholesale Meat Co.","GA","30312","C&S Wholesale Meat Co.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"38",144,"Waltkoch LTD","GA","30501","Waltkoch LTD","Small",FALSE,NA,NA,NA,NA,"Georgia"
"39",150,"Roger Wood Foods, Inc.","GA","31408","Roger Wood Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"40",154,"Four Star Meat Product Co., Inc.","GA","30297","Four Star Meat Product Co., Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"41",155,"Curtis Packing Company","GA","31794","Curtis Packing Company","Small",FALSE,NA,NA,NA,NA,"Georgia"
"42",162,"Stripling's General Store Inc.","GA","31768","Stripling's General Store Inc.","Small",FALSE,TRUE,NA,NA,NA,"Georgia"
"43",167,"Walker Foods, Inc.","GA","30117","Walker Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"44",169,"Prime Food Inc.","GA","30120","Prime Food Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"45",178,"Gold Creek Foods LLC","GA","30504","Gold Creek Foods LLC","Small",FALSE,NA,NA,NA,NA,"Georgia"
"46",180,"Koch Foods of Gainesville GA","GA","30503","Koch Foods of Gainesville GA","Small",FALSE,NA,NA,NA,NA,"Georgia"
"47",182,"Sunset Farm Foods, Inc.","GA","31603","Sunset Farm Foods, Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"48",184,"Walker Meats, Inc.","GA","30117","Walker Meats, Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"49",188,"Mulberry Farms Inc.","GA","30501","Mulberry Farms Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"50",192,"Patak Meat Products Inc.","GA","30106","Patak Meat Products Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"51",195,"Papetti's Hygrade Egg Products Inc.","NJ","07206","Papetti's Hygrade Egg Products Inc.","Small",FALSE,NA,NA,NA,TRUE,"New Jersey"
"52",197,"Fieldale Farms Corporation","GA","30507","Fieldale Farms Corporation","Large",FALSE,NA,NA,NA,NA,"Georgia"
"53",204,"Tip Top Poultry, Inc.","GA","30153","Tip Top Poultry, Inc.","Large",FALSE,NA,NA,NA,NA,"Georgia"
"54",210,"Chamblee Meats & Supplies","GA","30341","Chamblee Meats & Supplies","Small",FALSE,NA,NA,NA,NA,"Georgia"
"55",214,"Best Foods Products II","GA","30083","Best Foods Products II","Small",FALSE,NA,NA,NA,NA,"Georgia"
"56",218,"Gordo's LLC","GA","30310","Gordo's LLC","Small",FALSE,NA,NA,NA,NA,"Georgia"
"57",221,"Sausage World, inc.","GA","30083","Sausage World, inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"58",226,"Norsan Meats, Inc.","GA","30084","Norsan Meats, Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"59",228,"Ellsworth Foods Inc.","GA","31793","Ellsworth Foods Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"60",232,"Lord's Meats, Inc.","GA","31019","Lord's Meats, Inc.","Small",FALSE,NA,NA,NA,NA,"Georgia"
"61",233,"Towson Cold Storage","GA","31794","Towson Cold Storage","Small",TRUE,TRUE,NA,NA,NA,"Georgia"
"62",245,"Tyson Foods, Inc.","GA","31092","Tyson Foods, Inc.","Large",FALSE,NA,TRUE,NA,NA,"Georgia"
"63",246,"S & S Institutional Foods","GA","30318","S & S Institutional Foods","Small",FALSE,NA,NA,NA,NA,"Georgia"
"64",265,"Bubba Foods, LLC","GA","30635","Bubba Foods, LLC","Small",FALSE,NA,NA,NA,NA,"Georgia"
"65",275,"Koch Foods of Cumming Georgia","GA","30040","Koch Foods of Cumming Georgia","Large",FALSE,NA,NA,NA,NA,"Georgia"
"66",291,"Filet of Chicken","GA","30297","Filet of Chicken","Small",FALSE,NA,NA,NA,NA,"Georgia"
"67",297,"Country Ranch Food Products","GA","30066","Country Ranch Food Products","Small",FALSE,NA,NA,NA,NA,"Georgia"
